年份,省份,GDP总量,第一产业,第二产业,第三产业,第一产业占比,第二产业占比,第三产业占比
2015,上海市,27779.56,105.94,7861.22,19812.39,0.0038,0.283,0.7132
2015,云南省,14941.26,2222.4,5325.37,7393.49,0.1487,0.3564,0.4948
2015,内蒙古自治区,12611.66,1156.49,5495.71,5959.46,0.0917,0.4358,0.4725
2015,北京市,26473.35,148.7,4617.9,21706.75,0.0056,0.1744,0.8199
2015,吉林省,9850.28,1073.91,3958.66,4817.72,0.109,0.4019,0.4891
2015,四川省,29933.43,3551.18,11541.41,14840.84,0.1186,0.3856,0.4958
2015,天津市,10619.83,134.76,4455.1,6029.97,0.0127,0.4195,0.5678
2015,宁夏回族自治区,2564.17,214.0,1063.17,1287.0,0.0835,0.4146,0.5019
2015,安徽省,23222.87,2574.13,10393.98,10254.77,0.1108,0.4476,0.4416
2015,山东省,54402.21,4223.51,23026.43,27152.27,0.0776,0.4233,0.4991
2015,山西省,11713.91,687.49,4752.68,6273.75,0.0587,0.4057,0.5356
2015,广东省,73838.86,3392.44,30209.57,40236.85,0.0459,0.4091,0.5449
2015,广西壮族自治区,14469.8,2203.49,6055.53,6210.78,0.1523,0.4185,0.4292
2015,新疆维吾尔自治区,9258.0,1526.66,3386.41,4344.93,0.1649,0.3658,0.4693
2015,江苏省,69814.45,3900.19,29278.5,36635.76,0.0559,0.4194,0.5248
2015,江西省,16338.49,1718.6,7635.89,6984.0,0.1052,0.4674,0.4275
2015,河北省,25737.48,2978.79,11370.91,11387.78,0.1157,0.4418,0.4425
2015,河南省,35316.0,4028.57,16236.05,15051.38,0.1141,0.4597,0.4262
2015,浙江省,42963.74,1683.93,18368.47,22911.33,0.0392,0.4275,0.5333
2015,海南省,3743.15,839.04,785.61,2118.5,0.2242,0.2099,0.566
2015,湖北省,29655.31,3385.94,12216.62,14052.75,0.1142,0.412,0.4739
2015,湖南省,27849.72,3209.08,11556.6,13084.04,0.1152,0.415,0.4698
2015,甘肃省,6645.16,898.94,2198.08,3548.15,0.1353,0.3308,0.5339
2015,福建省,26310.03,2235.67,11902.54,12171.83,0.085,0.4524,0.4626
2015,西藏自治区,1045.55,98.21,339.4,607.94,0.0939,0.3246,0.5815
2015,贵州省,10603.79,1637.55,3668.2,5298.04,0.1544,0.3459,0.4996
2015,辽宁省,20161.64,1612.59,7586.3,10962.75,0.08,0.3763,0.5437
2015,重庆市,15829.35,1148.69,6540.43,8140.23,0.0726,0.4132,0.5142
2015,陕西省,17471.08,1558.34,8187.14,7725.6,0.0892,0.4686,0.4422
2015,青海省,1986.03,177.96,851.46,956.6,0.0896,0.4287,0.4817
2015,黑龙江省,11798.43,2003.02,3440.12,6355.29,0.1698,0.2916,0.5387
2016,上海市,30456.48,106.32,8122.23,22227.93,0.0035,0.2667,0.7298
2016,云南省,16549.39,2376.2,5740.67,8432.53,0.1436,0.3469,0.5095
2016,内蒙古自治区,13429.88,1231.21,5669.6,6529.06,0.0917,0.4222,0.4862
2016,北京市,29014.54,145.99,4818.68,24049.88,0.005,0.1661,0.8289
2016,吉林省,10307.05,1098.52,3985.8,5222.74,0.1066,0.3867,0.5067
2016,四川省,33020.23,3763.56,12348.71,16907.96,0.114,0.374,0.512
2016,天津市,11284.2,146.54,4533.14,6604.51,0.013,0.4017,0.5853
2016,宁夏回族自治区,2801.79,228.63,1124.4,1448.76,0.0816,0.4013,0.5171
2016,安徽省,25584.79,2706.58,11065.58,11812.62,0.1058,0.4325,0.4617
2016,山东省,57768.19,4349.3,23742.37,29676.51,0.0753,0.411,0.5137
2016,山西省,12776.52,722.7,5092.52,6961.31,0.0566,0.3986,0.5449
2016,广东省,80501.03,3530.25,32002.11,44968.67,0.0439,0.3975,0.5586
2016,广西壮族自治区,15694.55,2346.91,6257.42,7090.22,0.1495,0.3987,0.4518
2016,新疆维吾尔自治区,10049.49,1602.69,3606.68,4840.12,0.1595,0.3589,0.4816
2016,江苏省,75577.97,3961.03,31010.48,40606.45,0.0524,0.4103,0.5373
2016,江西省,17796.31,1773.75,8081.52,7941.04,0.0997,0.4541,0.4462
2016,河北省,27523.24,3057.31,11696.84,12769.09,0.1111,0.425,0.4639
2016,河南省,38238.65,4164.23,17042.2,17032.21,0.1089,0.4457,0.4454
2016,浙江省,46954.08,1740.12,19484.35,25729.6,0.0371,0.415,0.548
2016,海南省,4073.67,871.97,828.08,2373.62,0.2141,0.2033,0.5827
2016,湖北省,31835.48,3480.94,12721.9,15632.64,0.1093,0.3996,0.491
2016,湖南省,30074.64,3320.2,12131.91,14622.53,0.1104,0.4034,0.4862
2016,甘肃省,7110.78,930.72,2277.61,3902.44,0.1309,0.3203,0.5488
2016,福建省,28989.34,2327.04,12768.14,13894.16,0.0803,0.4404,0.4793
2016,西藏自治区,1187.22,108.03,377.76,701.43,0.091,0.3182,0.5908
2016,贵州省,11806.03,1742.62,3968.29,6095.12,0.1476,0.3361,0.5163
2016,辽宁省,21184.97,1684.83,7733.58,11766.56,0.0795,0.3651,0.5554
2016,重庆市,17341.75,1204.32,6949.36,9188.08,0.0694,0.4007,0.5298
2016,陕西省,18853.34,1624.5,8587.13,8641.71,0.0862,0.4555,0.4584
2016,青海省,2161.91,190.83,893.01,1078.06,0.0883,0.4131,0.4987
2016,黑龙江省,12215.68,2097.87,3380.02,6737.79,0.1717,0.2767,0.5516
2017,上海市,34046.64,105.52,8957.29,24983.83,0.0031,0.2631,0.7338
2017,云南省,18770.0,2520.73,6613.32,9635.95,0.1343,0.3523,0.5134
2017,内蒙古自治区,14716.75,1300.06,6249.76,7166.93,0.0883,0.4247,0.487
2017,北京市,32213.68,141.31,5371.09,26701.27,0.0044,0.1667,0.8289
2017,吉林省,11073.32,1115.07,4287.05,5671.2,0.1007,0.3872,0.5122
2017,四川省,37373.06,3956.89,14118.65,19297.53,0.1059,0.3778,0.5163
2017,天津市,12331.12,157.75,4927.01,7246.36,0.0128,0.3996,0.5876
2017,宁夏回族自治区,3146.91,242.39,1270.64,1633.88,0.077,0.4038,0.5192
2017,安徽省,29033.08,2822.32,12586.49,13624.27,0.0972,0.4335,0.4693
2017,山东省,63101.77,4444.22,26160.63,32496.92,0.0704,0.4146,0.515
2017,山西省,14326.53,753.76,5832.29,7740.49,0.0526,0.4071,0.5403
2017,广东省,90229.13,3643.72,36229.61,50355.79,0.0404,0.4015,0.5581
2017,广西壮族自治区,17484.26,2480.41,6902.81,8101.05,0.1419,0.3948,0.4633
2017,新疆维吾尔自治区,11177.56,1669.34,4105.58,5402.64,0.1493,0.3673,0.4833
2017,江苏省,84188.38,3985.37,35104.79,45098.23,0.0473,0.417,0.5357
2017,江西省,19996.28,1814.69,9139.87,9041.72,0.0908,0.4571,0.4522
2017,河北省,30298.76,3112.74,12852.69,14333.33,0.1027,0.4242,0.4731
2017,河南省,42681.94,4268.79,19113.96,19299.19,0.1,0.4478,0.4522
2017,浙江省,52819.2,1782.6,22087.0,28949.6,0.0337,0.4182,0.5481
2017,海南省,4495.91,898.8,932.69,2664.42,0.1999,0.2075,0.5926
2017,湖北省,35125.58,3549.63,14156.56,17419.39,0.1011,0.403,0.4959
2017,湖南省,33387.75,3407.38,13609.97,16370.41,0.1021,0.4076,0.4903
2017,甘肃省,7778.33,956.15,2521.81,4300.36,0.1229,0.3242,0.5529
